,g,layers,emb,epoch,kt,avg
402,ER,7,8,12,0.8612698663466238,0.05370710461539566
403,ER,7,8,13,0.863921316685327,0.05741487792456671
404,ER,7,8,14,0.8634309912412809,0.05700350548041544
405,ER,1,12,0,0.830799322768538,0.06756408172590612
406,ER,1,12,1,0.858229552199288,0.047638849139931876
407,ER,1,12,2,0.8687946195646845,0.04336474075893561
408,ER,1,12,3,0.8722521317221554,0.04110019532129407
409,ER,1,12,4,0.8745005667173207,0.04097494890611799
410,ER,1,12,5,0.8741859259282115,0.038986971697146926
411,ER,1,12,6,0.8752055712751469,0.03835488569435262
412,ER,1,12,7,0.8762253643094663,0.03780722915034655
413,ER,1,12,8,0.8778241867802254,0.03796466962989839
414,ER,1,12,9,0.8780556419951433,0.03825028286751444
415,ER,1,12,10,0.8785559505944865,0.038684090247265476
416,ER,1,12,11,0.8787210219361732,0.039231802953078855
417,ER,1,12,12,0.8779427633470757,0.038546007739296555
418,ER,1,12,13,0.8777079123034792,0.038692330643114094
419,ER,1,12,14,0.8778525282447145,0.039190526411391285
420,ER,4,12,0,0.8566305599043753,0.04685336963263351
421,ER,4,12,1,0.8734456212151974,0.048786718379903005
422,ER,4,12,2,0.878732010495483,0.05012831468035777
423,ER,4,12,3,0.8800539676904011,0.05209044408546282
424,ER,4,12,4,0.8779002143578847,0.05051677053424229
425,ER,4,12,5,0.8800070393538239,0.050217475091952554
426,ER,4,12,6,0.881602992993962,0.04917305286463717
427,ER,4,12,7,0.881615883183507,0.04925866127372542
428,ER,4,12,8,0.8799290248748358,0.04919259605055642
429,ER,4,12,9,0.8812817460137523,0.05042613246584546
430,ER,4,12,10,0.87871646532397,0.05098266135310262
431,ER,4,12,11,0.8788511637164254,0.05192987988335001
432,ER,4,12,12,0.876844630062927,0.05193550696452338
433,ER,4,12,13,0.8769507296757644,0.052496840911621254
434,ER,4,12,14,0.8770904078391565,0.052772511524152035
435,ER,7,12,0,0.8297083387911968,0.05988607994861826
436,ER,7,12,1,0.8719119364894727,0.05520775402495638
437,ER,7,12,2,0.8751492133252343,0.06005436408125024
438,ER,7,12,3,0.8795771041175096,0.059505431274722444
439,ER,7,12,4,0.8771921591432467,0.06161024961564976
440,ER,7,12,5,0.8748230255280316,0.06165026400521112
441,ER,7,12,6,0.8754254857448363,0.06280896605377165
442,ER,7,12,7,0.8730749187062316,0.06430821323329337
443,ER,7,12,8,0.8716649788374713,0.06467446858220804
444,ER,7,12,9,0.8707994112743356,0.06393890581434272
445,ER,7,12,10,0.8705991811377392,0.06518133881102631
446,ER,7,12,11,0.8676512622875032,0.06516256909836508
447,ER,7,12,12,0.8657318638637534,0.06627300917888192
448,ER,7,12,13,0.8657334548370466,0.0668696601157733
449,ER,7,12,14,0.8661537458168992,0.06658676221779412
450,ER,1,16,0,0.8395376046294174,0.06237863260060548
451,ER,1,16,1,0.8631169822348905,0.04639715272265344
452,ER,1,16,2,0.8713901802251259,0.04343042700454129
453,ER,1,16,3,0.8745452923337658,0.042233376804520315
454,ER,1,16,4,0.8769907608679037,0.04171704987110915
455,ER,1,16,5,0.878345166620919,0.041605533960229306
456,ER,1,16,6,0.8792953895888262,0.04150955902061981
457,ER,1,16,7,0.8798033904889518,0.041647121374646705
458,ER,1,16,8,0.8805765562054493,0.04146026504705045
459,ER,1,16,9,0.8806841412420653,0.04136416538541883
460,ER,1,16,10,0.8811726884973131,0.04166827201263001
461,ER,1,16,11,0.8811707882088508,0.04203406741596133
462,ER,1,16,12,0.8816034778289215,0.041983391225568545
463,ER,1,16,13,0.8813361586002042,0.04235425184200962
464,ER,1,16,14,0.8813537054210399,0.04251618493594096
465,ER,4,16,0,0.8719218459270603,0.06415995990557298
466,ER,4,16,1,0.8766839044886539,0.06375620340760044
